model,target,n_positive,classifier,roc_auc,pr_auc,brier
gpt-5.4,rescue,850,logreg_l2,0.6721099324975892,0.1638688541646517,0.22284875360356604
gpt-5.4,rescue,850,logreg_strong_l2,0.6722383799421408,0.1639905277338896,0.22299832077471288
gpt-5.4,rescue,850,hgb,0.720473031179685,0.21389428215105868,0.07295805724501064
gpt-5.4,regression,115,logreg_l2,0.659677596709991,0.027662822727154764,0.2021049163007713
gpt-5.4,regression,115,logreg_strong_l2,0.6804169690572014,0.02875377557731637,0.20165023098047855
gpt-5.4,regression,115,hgb,0.7079677156869214,0.022793494175280656,0.01158784469959544
gpt-5.4,resistant,281,logreg_l2,0.5891940759542431,0.041797919590918026,0.23198861481430522
gpt-5.4,resistant,281,logreg_strong_l2,0.5879549870946552,0.04082878247259284,0.2325749488862271
gpt-5.4,resistant,281,hgb,0.8415738479018424,0.21645273177518704,0.02439451164652347
gpt-5.4-mini,rescue,1238,logreg_l2,0.6524190779762369,0.2092228583937505,0.23034360799856868
gpt-5.4-mini,rescue,1238,logreg_strong_l2,0.6526031781385252,0.2107499941476681,0.23034765580451877
gpt-5.4-mini,rescue,1238,hgb,0.7040889964337853,0.27090591748195875,0.10075501652451377
gpt-5.4-mini,regression,151,logreg_l2,0.602311459327232,0.031680541511245906,0.22306955284692384
gpt-5.4-mini,regression,151,logreg_strong_l2,0.603919852017114,0.03231588893380241,0.22339712704762224
gpt-5.4-mini,regression,151,hgb,0.7855754340878389,0.07244212661859892,0.01460190316421573
gpt-5.4-mini,resistant,295,logreg_l2,0.5778768588618481,0.04458699220087549,0.23254596631324367
gpt-5.4-mini,resistant,295,logreg_strong_l2,0.5811500275063526,0.044043956297127984,0.2329702380546029
gpt-5.4-mini,resistant,295,hgb,0.8269845178529328,0.18815398579516032,0.02613802705468771
