claude_item_id,source_item_id,claim_id,order
CF-000001,SA-000502,192975,1
CF-000002,SA-000610,67721,2
CF-000003,SA-000102,140067,3
CF-000004,SA-000309,109563,4
CF-000005,SA-000494,117369,5
CF-000006,SA-000631,50486,6
CF-000007,SA-000922,135291,7
CF-000008,SA-000414,224191,8
CF-000009,SA-000881,14800,9
CF-000010,SA-000719,142286,10
CF-000011,SA-000240,162662,11
CF-000012,SA-000072,172466,12
CF-000013,SA-000446,126775,13
CF-000014,SA-000203,130248,14
CF-000015,SA-000330,130631,15
CF-000016,SA-000770,145470,16
CF-000017,SA-000178,106030,17
CF-000018,SA-000387,185412,18
CF-000019,SA-000028,63846,19
CF-000020,SA-000906,145537,20
CF-000021,SA-000117,77686,21
CF-000022,SA-000666,8505,22
CF-000023,SA-000440,83454,23
CF-000024,SA-000964,150412,24
CF-000025,SA-000145,220949,25
CF-000026,SA-000382,67568,26
CF-000027,SA-000924,196159,27
CF-000028,SA-000927,61401,28
CF-000029,SA-000913,107119,29
CF-000030,SA-000051,55633,30
CF-000031,SA-000595,25505,31
CF-000032,SA-000997,119915,32
CF-000033,SA-000087,187390,33
CF-000034,SA-000791,207543,34
CF-000035,SA-000854,41480,35
CF-000036,SA-000563,179332,36
CF-000037,SA-000608,132858,37
CF-000038,SA-001052,96466,38
CF-000039,SA-000641,70784,39
CF-000040,SA-000856,75025,40
CF-000041,SA-000949,101212,41
CF-000042,SA-000142,35174,42
CF-000043,SA-001028,140359,43
CF-000044,SA-000327,120781,44
CF-000045,SA-000157,70574,45
CF-000046,SA-000995,38288,46
CF-000047,SA-000988,81191,47
CF-000048,SA-000723,54383,48
CF-000049,SA-000176,17124,49
CF-000050,SA-000483,9680,50
CF-000051,SA-000838,64142,51
CF-000052,SA-000067,217194,52
CF-000053,SA-000623,180726,53
CF-000054,SA-000776,201801,54
CF-000055,SA-001023,115386,55
CF-000056,SA-000553,33547,56
CF-000057,SA-000071,48810,57
CF-000058,SA-000679,91498,58
CF-000059,SA-000025,134927,59
CF-000060,SA-000849,87187,60
CF-000061,SA-000609,37773,61
CF-000062,SA-000033,92949,62
CF-000063,SA-000694,93184,63
CF-000064,SA-000262,99511,64
CF-000065,SA-000866,173930,65
CF-000066,SA-000274,195020,66
CF-000067,SA-001039,204307,67
CF-000068,SA-000555,194795,68
CF-000069,SA-000276,39018,69
CF-000070,SA-000762,35381,70
CF-000071,SA-000052,7138,71
CF-000072,SA-000978,172507,72
CF-000073,SA-000649,172468,73
CF-000074,SA-000324,78725,74
CF-000075,SA-000657,53468,75
CF-000076,SA-000761,127402,76
CF-000077,SA-000861,88946,77
CF-000078,SA-000721,92586,78
CF-000079,SA-000942,102789,79
CF-000080,SA-001000,36171,80
CF-000081,SA-001020,152955,81
CF-000082,SA-000659,96740,82
CF-000083,SA-000893,186598,83
CF-000084,SA-000615,3718,84
CF-000085,SA-001057,153147,85
CF-000086,SA-000306,199420,86
CF-000087,SA-000944,217198,87
CF-000088,SA-000571,56284,88
CF-000089,SA-000976,191445,89
CF-000090,SA-000021,51442,90
CF-000091,SA-000230,103003,91
CF-000092,SA-000250,130833,92
CF-000093,SA-000996,153303,93
CF-000094,SA-000342,127225,94
CF-000095,SA-000534,93412,95
CF-000096,SA-000015,193860,96
CF-000097,SA-000832,96603,97
CF-000098,SA-000353,157002,98
CF-000099,SA-000299,76867,99
CF-000100,SA-001030,145926,100
CF-000101,SA-000993,123452,101
CF-000102,SA-000073,168537,102
CF-000103,SA-000999,25545,103
CF-000104,SA-000479,108736,104
CF-000105,SA-000508,147781,105
CF-000106,SA-000264,191433,106
CF-000107,SA-000153,193911,107
CF-000108,SA-000892,130108,108
CF-000109,SA-000760,209859,109
CF-000110,SA-000544,208906,110
CF-000111,SA-000362,115173,111
CF-000112,SA-000606,147344,112
CF-000113,SA-000755,79610,113
CF-000114,SA-000406,174986,114
CF-000115,SA-000664,181118,115
CF-000116,SA-000360,199815,116
CF-000117,SA-000248,198545,117
CF-000118,SA-000859,12467,118
CF-000119,SA-000089,194922,119
CF-000120,SA-000340,142863,120
CF-000121,SA-000894,173933,121
CF-000122,SA-001046,14501,122
CF-000123,SA-000273,129066,123
CF-000124,SA-000599,90158,124
CF-000125,SA-000825,38599,125
CF-000126,SA-000036,29256,126
CF-000127,SA-000895,4041,127
CF-000128,SA-000970,160350,128
CF-000129,SA-000427,113297,129
CF-000130,SA-000460,118940,130
CF-000131,SA-001043,174893,131
CF-000132,SA-000238,79420,132
CF-000133,SA-000200,221086,133
CF-000134,SA-001016,90151,134
CF-000135,SA-000206,133843,135
CF-000136,SA-000933,60612,136
CF-000137,SA-001013,97739,137
CF-000138,SA-000781,106115,138
CF-000139,SA-000397,227098,139
CF-000140,SA-000527,133407,140
CF-000141,SA-000824,48484,141
CF-000142,SA-000779,105788,142
CF-000143,SA-001009,193844,143
CF-000144,SA-000181,92419,144
CF-000145,SA-000009,68032,145
CF-000146,SA-000940,152008,146
CF-000147,SA-000139,22639,147
CF-000148,SA-000294,37097,148
CF-000149,SA-000078,116588,149
CF-000150,SA-000867,108880,150
CF-000151,SA-000215,87760,151
CF-000152,SA-000151,186323,152
CF-000153,SA-000193,185206,153
CF-000154,SA-000709,222661,154
CF-000155,SA-000189,9410,155
CF-000156,SA-000903,88941,156
CF-000157,SA-000790,51355,157
CF-000158,SA-000481,111938,158
CF-000159,SA-000738,51757,159
CF-000160,SA-000946,113712,160
CF-000161,SA-000992,227116,161
CF-000162,SA-000683,85196,162
CF-000163,SA-001006,21784,163
