stage,flag,n
A,entity_or_attribute_confusion,341
A,multi_sentence_integration,103
A,negation_or_scope,121
A,none,49
A,numerical_or_temporal_reasoning,251
A,other,18
A,partial_warrant,389
A,possible_coreference_or_entity_resolution,93
A,possible_missing_surrounding_context,80
A,possible_missing_title_context,90
B,entity_or_attribute_confusion,341
B,multi_sentence_integration,104
B,negation_or_scope,116
B,none,84
B,numerical_or_temporal_reasoning,256
B,other,12
B,partial_warrant,399
B,possible_coreference_or_entity_resolution,60
B,possible_missing_surrounding_context,75
B,possible_missing_title_context,7
C,entity_or_attribute_confusion,337
C,multi_sentence_integration,93
C,negation_or_scope,117
C,none,86
C,numerical_or_temporal_reasoning,253
C,other,23
C,partial_warrant,420
C,possible_coreference_or_entity_resolution,59
C,possible_missing_surrounding_context,75
C,possible_missing_title_context,13
