claude_item_id,source_item_id,order
CR-000001,SA-000619,1
CR-000002,SA-000946,2
CR-000003,SA-000103,3
CR-000004,SA-000014,4
CR-000005,SA-000636,5
CR-000006,SA-000481,6
CR-000007,SA-000521,7
CR-000008,SA-000293,8
CR-000009,SA-000835,9
CR-000010,SA-000917,10
CR-000011,SA-000941,11
CR-000012,SA-000964,12
CR-000013,SA-000078,13
CR-000014,SA-000598,14
CR-000015,SA-000177,15
CR-000016,SA-001005,16
CR-000017,SA-000919,17
CR-000018,SA-000781,18
CR-000019,SA-000956,19
CR-000020,SA-000757,20
CR-000021,SA-000202,21
CR-000022,SA-000744,22
CR-000023,SA-000058,23
CR-000024,SA-000117,24
CR-000025,SA-000052,25
CR-000026,SA-000988,26
CR-000027,SA-000087,27
CR-000028,SA-000682,28
CR-000029,SA-000504,29
CR-000030,SA-000371,30
CR-000031,SA-000497,31
CR-000032,SA-000793,32
CR-000033,SA-000720,33
CR-000034,SA-000791,34
CR-000035,SA-000526,35
CR-000036,SA-000313,36
CR-000037,SA-000340,37
CR-000038,SA-000511,38
CR-000039,SA-000701,39
CR-000040,SA-000702,40
CR-000041,SA-000705,41
CR-000042,SA-000240,42
CR-000043,SA-001023,43
CR-000044,SA-000182,44
CR-000045,SA-000115,45
CR-000046,SA-000107,46
CR-000047,SA-000563,47
CR-000048,SA-000113,48
CR-000049,SA-000940,49
CR-000050,SA-000741,50
CR-000051,SA-000124,51
CR-000052,SA-000531,52
CR-000053,SA-000714,53
CR-000054,SA-000358,54
CR-000055,SA-000203,55
CR-000056,SA-000155,56
CR-000057,SA-000465,57
CR-000058,SA-000853,58
CR-000059,SA-001042,59
CR-000060,SA-000906,60
CR-000061,SA-000867,61
CR-000062,SA-000012,62
CR-000063,SA-000386,63
CR-000064,SA-000309,64
CR-000065,SA-000626,65
CR-000066,SA-000145,66
CR-000067,SA-000718,67
CR-000068,SA-000220,68
CR-000069,SA-001058,69
CR-000070,SA-000975,70
CR-000071,SA-000099,71
CR-000072,SA-000541,72
CR-000073,SA-000627,73
CR-000074,SA-000834,74
CR-000075,SA-000555,75
CR-000076,SA-000231,76
CR-000077,SA-000858,77
CR-000078,SA-000229,78
CR-000079,SA-000441,79
CR-000080,SA-000927,80
CR-000081,SA-000064,81
CR-000082,SA-000192,82
CR-000083,SA-000255,83
CR-000084,SA-000239,84
CR-000085,SA-000399,85
CR-000086,SA-000993,86
CR-000087,SA-000262,87
CR-000088,SA-000470,88
CR-000089,SA-000256,89
CR-000090,SA-000464,90
CR-000091,SA-000637,91
CR-000092,SA-000034,92
CR-000093,SA-000330,93
CR-000094,SA-000189,94
CR-000095,SA-000903,95
CR-000096,SA-000813,96
CR-000097,SA-001024,97
CR-000098,SA-000921,98
CR-000099,SA-000657,99
CR-000100,SA-000362,100
CR-000101,SA-000800,101
CR-000102,SA-000360,102
CR-000103,SA-000838,103
CR-000104,SA-000274,104
CR-000105,SA-000710,105
CR-000106,SA-000466,106
CR-000107,SA-000663,107
CR-000108,SA-000056,108
CR-000109,SA-000391,109
CR-000110,SA-000913,110
CR-000111,SA-000193,111
CR-000112,SA-000074,112
CR-000113,SA-000128,113
CR-000114,SA-000462,114
CR-000115,SA-000830,115
CR-000116,SA-000044,116
CR-000117,SA-000054,117
CR-000118,SA-000478,118
CR-000119,SA-001043,119
CR-000120,SA-000043,120
CR-000121,SA-000758,121
CR-000122,SA-000475,122
CR-000123,SA-000382,123
CR-000124,SA-000518,124
CR-000125,SA-000929,125
CR-000126,SA-000134,126
CR-000127,SA-001041,127
CR-000128,SA-000021,128
CR-000129,SA-000230,129
CR-000130,SA-000286,130
CR-000131,SA-000280,131
CR-000132,SA-000792,132
CR-000133,SA-000938,133
CR-000134,SA-000515,134
CR-000135,SA-000704,135
CR-000136,SA-000125,136
CR-000137,SA-000595,137
CR-000138,SA-000991,138
CR-000139,SA-000414,139
CR-000140,SA-000224,140
CR-000141,SA-000377,141
CR-000142,SA-000952,142
CR-000143,SA-000866,143
CR-000144,SA-000839,144
CR-000145,SA-000158,145
CR-000146,SA-000850,146
CR-000147,SA-000784,147
CR-000148,SA-000535,148
CR-000149,SA-000712,149
CR-000150,SA-000015,150
CR-000151,SA-000492,151
CR-000152,SA-001022,152
CR-000153,SA-000779,153
CR-000154,SA-000790,154
CR-000155,SA-000881,155
CR-000156,SA-000387,156
CR-000157,SA-000426,157
CR-000158,SA-000368,158
CR-000159,SA-000700,159
CR-000160,SA-000756,160
CR-000161,SA-001020,161
CR-000162,SA-000612,162
CR-000163,SA-000831,163
CR-000164,SA-000755,164
CR-000165,SA-001034,165
CR-000166,SA-001046,166
CR-000167,SA-000328,167
CR-000168,SA-000211,168
CR-000169,SA-000165,169
CR-000170,SA-000126,170
CR-000171,SA-000760,171
CR-000172,SA-000435,172
CR-000173,SA-000278,173
CR-000174,SA-000660,174
CR-000175,SA-000547,175
CR-000176,SA-000349,176
CR-000177,SA-000351,177
CR-000178,SA-000990,178
CR-000179,SA-000422,179
CR-000180,SA-000378,180
CR-000181,SA-000977,181
CR-000182,SA-000570,182
CR-000183,SA-000458,183
CR-000184,SA-000659,184
CR-000185,SA-000046,185
CR-000186,SA-001052,186
CR-000187,SA-000051,187
CR-000188,SA-000583,188
CR-000189,SA-000010,189
CR-000190,SA-000606,190
CR-000191,SA-000094,191
CR-000192,SA-000355,192
CR-000193,SA-000529,193
CR-000194,SA-000285,194
CR-000195,SA-000131,195
CR-000196,SA-000079,196
CR-000197,SA-000438,197
CR-000198,SA-001039,198
CR-000199,SA-000140,199
CR-000200,SA-000411,200
CR-000201,SA-000762,201
CR-000202,SA-000666,202
CR-000203,SA-000093,203
CR-000204,SA-000959,204
CR-000205,SA-000459,205
CR-000206,SA-000631,206
CR-000207,SA-000832,207
CR-000208,SA-000662,208
CR-000209,SA-000816,209
CR-000210,SA-000724,210
CR-000211,SA-000989,211
CR-000212,SA-000827,212
CR-000213,SA-000218,213
CR-000214,SA-001002,214
CR-000215,SA-000412,215
CR-000216,SA-000059,216
CR-000217,SA-000684,217
CR-000218,SA-000160,218
CR-000219,SA-000109,219
CR-000220,SA-000500,220
CR-000221,SA-000425,221
CR-000222,SA-000692,222
CR-000223,SA-000809,223
CR-000224,SA-000954,224
CR-000225,SA-000969,225
CR-000226,SA-000614,226
CR-000227,SA-000236,227
CR-000228,SA-001057,228
CR-000229,SA-000248,229
CR-000230,SA-000132,230
CR-000231,SA-000743,231
